Manager (* means still there),Rehired,Age,Year Hired,Team,Race,Race (B/W/O),Black,Country of Origin (Birthplace),Number of Matches (MLS),Wins (MLS),Draws (MLS),Losses (MLS),Points accrued,Tenure (Seasons),Experience-Post Tenure,Head Coaching Experience (Yrs),Assistant Coach Experience (Yrs),Rehire?,Average Total Squad Compensation,Former Player?,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Avg Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Avg Coach Rating
Greg Vanney,1,40,2014,TOR,W,W,0,USA,203,87,48,68,309,6,6,0,2,0,"$22,367,677.86",TRUE,USL,58.4,MLS,69.3,FL2,71.7,FTI,76.8,,0,,0,,0,,0,34.525,SSL,71,FTI,76.8,PDP,76.9,APD,80.8,MLS,69.3,,0,62.46666667
Gregg Berhalter,0,41,2014,CLB,W,W,0,USA,170,67,45,58,246,5,8,3,1,0,"$6,242,116.60",TRUE,NED,60.6,MLS,69.3,FTI,76.8,G2B,77.1,FTI,76.8,,0,,0,,0,45.075,EFL,75.4,ABL,75.3,,0,,0,,0,,0,25.11666667
Jeff Cassar,0,40,2014,RSL,W,W,0,USA,106,38,31,37,145,4,4,0,5,0,"$6,219,699.00",TRUE,USL,58.4,MLS,69.3,,0,,0,,0,,0,,0,,0,15.9625,NISA/NASL,0,,0,,0,,0,,0,,0,0
Oscar Pareja,1,46,2014,FCD,W,W,0,Colombia,170,78,43,49,277,5,7,2,7,1,"$6,394,238.40",TRUE,CPA,78.1,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,28.025,None,0,,0,,0,,0,,0,,0,0
Pablo Mastroeni,1,38,2014,COL,NW,O,0,Argentina,124,38,35,51,149,4,4,0,0,0,"$6,650,458.50",TRUE,MLS,69.3,USL,58.4,FTI,76.8,,0,,0,,0,,0,,0,25.5625,MLS,69.3,,0,,0,,0,,0,,0,11.55
Wilmer Cabrera,1,47,2014,Chivas,NW,O,0,Colombia,34,9,7,18,34,1,6,5,4,0,"$4,542,924 ",TRUE,CPA,78.1,USL,58.4,MLS,69.3,,0,,0,,0,,0,,0,25.725,SST,60.5,,0,,0,,0,,0,,0,10.08333333
Adrian Heath,1,54,2015,ORL,W,W,0,England,50,16,16,18,64,9,11,2,4,0,"$12,136,736 ",TRUE,EFL,75.4,SSD,77.3,,0,,0,,0,,0,,0,,0,19.0875,ISB,74.8,APD,80.8,,0,,0,,0,,0,25.93333333
Dominic Kinnear,0,48,2015,SJE,W,W,0,Scotland,85,27,27,31,108,3,13,10,2,1,"$6,505,145.50",TRUE,SPFL,68.4,MLS,69.3,USISL,0,FTI,76.8,,0,,0,,0,,0,26.8125,SDO,51,SWA,74.2,SST,60.5,DSL,77.1,GSL,80.7,A1l,55.9,66.56666667
Jason Kreis,1,42,2015,NYC,W,W,0,USA,34,10,7,17,37,2,8,6,0,1,"$17,871,768.00",TRUE,LAL,58.4,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,25.5625,BDA,76.8,,0,,0,,0,,0,,0,12.8
Jesse Marsch,0,42,2015,NYRB,W,W,0,USA,118,58,25,35,199,4,5,1,2,1,"$6,672,204.00",TRUE,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,,0,18.2625,BDA,76.8,MLS,69.3,,0,,0,,0,,0,24.35
Mauro Biello,0,43,2015,MTL,W,W,0,Canada,81,30,20,31,110,3,3,0,6,0,"$6,885,602 ",TRUE,LAL,58.4,FTI,76.8,,0,,0,,0,,0,,0,,0,16.9,NED,60.6,EFL,75.4,NER,78.4,,0,,0,,0,35.73333333
Owen Coyle,0,49,2015,HOU,W,W,0,Ireland,46,14,11,21,53,2,13,11,1,0,"$5,598,063.50",TRUE,SPFL,68.4,FTI,76.8,FTI,76.8,,0,,0,,0,,0,,0,27.75,USL,58.4,,0,,0,,0,,0,,0,9.733333333
Jason Kreis,0,43,2016,ORL,W,W,0,USA,44,14,11,19,53,2,10,8,0,1,"$12,206,792.67",TRUE,LAL,58.4,MLS,69.3,,0,,0,,0,,0,,0,,0,15.9625,MLS,69.3,,0,,0,,0,,0,,0,11.55
Patrick Vieira,0,40,2016,NYC,NW,B,1,France,83,39,22,22,139,2,4,2,0,0,"$18,147,768.00",TRUE,EPL,93.8,ISA,89.5,APSL,0,,0,,0,,0,,0,,0,22.9125,None,0,,0,,0,,0,,0,,0,0
Veljko Paunovic,0,39,2016,CHI,W,W,0,Serbia,170,49,43,78,190,4,8,4,0,0,"$11,896,848.67",TRUE,SBS,70.9,SSD,77.3,FTI,76.8,MLS,69.3,RPL,79.8,FTI,76.8,,0,,0,56.3625,None,0,,0,,0,,0,,0,,0,0
Brad Friedel,0,46,2017,NER,W,W,0,USA,46,12,13,21,49,2,4,2,0,0,"$9,019,590.00",TRUE,EFL,75.4,EPL,93.8,GBL,90.3,MLS,69.3,FTI,76.8,,0,,0,,0,50.7,MLS,69.3,,0,,0,,0,,0,,0,11.55
Curt Onalfo,0,48,2017,LAG,W,W,0,Brazil,20,6,4,10,22,1,8,7,14,1,"$15,021,392 ",TRUE,LFF,0,USISL,0,CISL,0,MAX,72.2,USL,58.4,FTI,76.8,,0,,0,25.925,None,0,,0,,0,,0,,0,,0,0
Gerardo Martino,1,55,2017,ATL,W,W,0,Argentina,68,36,16,16,124,3,20,17,0,0,"$10,640,673.00",TRUE,APD,80.8,SSD,77.3,EPA,76.6,CPD,71.4,,0,,0,,0,,0,38.2625,EPL,93.8,,0,,0,,0,,0,,0,15.63333333
